# cena  0: banco 05, lista 6BED, 8 caixas, 146 bytes JP, faixa 40A0-4128, 0 caixas identicas ao JP
 0	00	05	40A0	17	どのファイルに|きろくしますか？	save to|what fl?
 0	01	05	40B1	16	ファイル<#>で|よろしいですか？	file<#>で|ok?     
 0	02	05	40C1	24	フードののこりは|<#>こです|だれがたべますか？	food    |<#>jでm|who eats?
 0	03	05	40CF	10	だれがたべますか？	who eats?
 0	04	05	40D9	13	フードはもうありません<FB>	no food lft<FB>
 0	05	05	40E6	16	どのファイルを|つかいますか？	which  |use?   
 0	06	05	40F6	21	そうさするキャラクターを|きめてください	pick a char |choose 
 0	07	05	410B	29	いまはそうさするキャラクターを|かえることはできません<FB>	cant change the|char now   <FB>
# cena  1: banco 05, lista 6BFD, 37 caixas, 2233 bytes JP, faixa 4128-49E1, 2 caixas identicas ao JP
 1	00	05	4128	13	わっ　いわがたくさん…<FB>	many rocks.<FB>
 1	01	05	4135	41	うまくいわをよけながら|すすまないと<FB>ドラゴンボールには|たどりつかないのか…<FB>	dodge rocks|or no <FB>2 the db |cant reach<FB>
 1	02	05	415E	26	ゲームのせつめいをしますか？|　　はい|　　いいえ	show help?    |  zb|  bbd
 1	03	05	4178	77	いわをうまくうごかして|ドラゴンボールまでのルートを|つくらなければなりません<FB>うすいいろの　いわは|うごかすことができませんので|おきをつけください<FB>	move rocks |path 2 the db |must be made<FB>pale rocks|cant be moved |careful  <FB>
 1	04	05	41C5	122	それと　ごはんさんの|はいかつりょうにもげんかいが|あります<FB>がめんの　みぎ|さんそゲージをよくかくにんし<FB>いきがつらそうになったときは|すいめんまで　ふじょうして|こきゅうをしてあげてください<FB>それでは　しつれいします|がんばってください<FB>	n gohans  |air is limited|here<FB>scrn rt|watch the air <FB>if hes in pain|go 2 surface |let him breath<FB>good luck!  |good luck<FB>
 1	05	05	423F	8	やったーっ！<FB>	yesss!<FB>
 1	06	05	4247	82	わたしとのしょうぶで|おまえのちからを|ためさせてもらう<FB>わたしよりはやく　カエルを|４ひきしとめることができれば<FB>ドラゴンボールは|おまえのものになるだろう！<FB>	in a match|ur power|ill test<FB>b4 me catch  |4 frogs n itll<FB>the db  |be yours!    <FB>
 1	07	05	4299	26	ゲームのせつめいをしますか？|　　はい|　　いいえ	show help?    |  zb|  bbd
 1	08	05	42B3	149	しょうじゅんをさゆうに|うごかし　ねらいをさだめて|みぎのボタンでたまをはっしゃ<FB>たまをカエルにぶつけるゲーム|です<FB>さきに４ひきしとめたひとの|かちです<FB>ネイルさんにかつまでゲームは|さきにすすめませんので<FB>なにがなんでも|かたなければなりません<FB>それでは　しつれいします|がんばってください<FB>	move aim   |n set ur aim |right btn shot<FB>hit frogs game|でm<FB>1st 2 get 4  |win <FB>beat nail or  |no going on<FB>u must |win somehow<FB>good luck!  |good luck<FB>
 1	09	05	4348	59	ふっ|たいしたうでだ…<FB>さっそくさいちょうろうさまに|ごほうこくしよう<FB>ドラゴンボールはおまえの|ものになるだろう<FB>	BU|not bad.<FB>2 the elder   |report  <FB>db is yours |be yours<FB>
